City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,Montería,8.748,-75.8814,92.91,45,48,1.97,CO,1675707753
222,Brønnøysund,65.4625,12.1997,42.8,100,75,20.0,NO,1675707753
223,Camacha,33.0833,-16.3333,56.62,67,75,21.85,PT,1675707651
224,Olinda,-8.0089,-34.8553,78.53,78,75,4.61,BR,1675707754
225,Ambilobe,-13.2,49.05,73.63,95,100,3.04,MG,1675707330
226,Atar,20.5169,-13.0499,76.08,16,4,13.58,MR,1675707648
227,Kokopo,-4.352,152.2633,78.06,83,100,5.5,PG,1675707754
228,Naze,28.3667,129.4833,63.52,91,61,13.94,JP,1675707755
229,Qaanaaq,77.484,-69.3632,-15.07,98,99,3.2,GL,1675707306
230,Gayny,60.3071,54.3241,-9.8,100,87,1.57,RU,1675707755
231,Amalāpuram,16.5833,82.0167,66.52,88,85,0.92,IN,1675707755
232,Paka,4.6374,103.4368,73.38,100,90,6.91,MY,1675707756
233,Herat Province,34.5,62.0,47.03,33,60,7.45,AF,1675707756
234,San Rafael,-34.6177,-68.3301,92.62,16,0,8.03,AR,1675707756
235,Omboué,-1.5746,9.2618,79.56,80,89,6.35,GA,1675707615
236,San Miguel,13.4833,-88.1833,96.6,22,0,4.14,SV,1675707755
237,Ko Samui,9.5357,99.9357,79.9,76,75,11.39,TH,1675707757
238,Ormara,25.2088,64.6357,72.41,60,1,11.52,PK,1675707539
239,Prince Rupert,54.3161,-130.3201,42.49,88,100,13.8,CA,1675707615
240,Dingle,10.9995,122.6711,74.7,92,52,7.16,PH,1675707343
241,Tabuk,17.4189,121.4443,70.88,95,55,3.74,PH,1675707757
242,Solnechnyy,50.7214,136.6319,-8.9,97,80,3.09,RU,1675707305
243,Ekibastuz,51.6667,75.3667,2.75,98,65,2.08,KZ,1675707757
244,Tromsø,69.6496,18.957,42.82,81,75,31.07,NO,1675707758
245,Isangel,-19.55,169.2667,79.23,84,89,5.37,VU,1675707758
246,Simao,22.7886,100.9748,52.95,42,2,1.41,CN,1675707644
247,Aktash,50.3,87.7333,2.01,97,90,3.65,RU,1675707759
248,Yellowknife,62.456,-114.3525,-9.04,98,43,2.37,CA,1675707040
249,Havelock,34.8791,-76.9013,62.55,49,40,19.57,US,1675707759
250,Oranjemund,-28.55,16.4333,65.35,94,48,7.52,NA,1675707759
251,Bambous Virieux,-20.3428,57.7575,80.85,78,40,6.91,MU,1675707175
252,Vila,42.0304,-8.1588,47.28,72,1,4.18,PT,1675707760
253,Alice Springs,-23.7,133.8833,65.75,68,75,5.75,AU,1675707574
254,Kapoeta,4.7717,33.5903,86.83,20,20,4.88,SS,1675707687
255,Dawlatabad,36.4141,64.9053,48.83,66,20,6.96,AF,1675707760
256,Trelew,-43.249,-65.3051,86.67,24,1,16.67,AR,1675707761
257,Gigmoto,13.7796,124.39,76.66,90,91,6.62,PH,1675707657
258,Kruisfontein,-34.0033,24.7314,74.88,90,64,2.46,ZA,1675707342
259,Bandi̇̄pur,27.9333,84.4167,49.21,65,23,2.91,NP,1675707753
260,Poya,-21.35,165.15,78.64,89,99,4.79,NC,1675707761
261,Burgos,42.3394,-3.7079,36.01,75,0,13.8,ES,1675707761
262,Nyurba,63.2842,118.3319,-38.42,100,98,2.59,RU,1675707762
263,Jizan,17.3333,42.6667,81.54,63,30,4.36,SA,1675707762
264,Magadan,59.5667,150.8,-15.39,78,88,7.65,RU,1675707581
265,Dannenberg,53.0967,11.09,33.15,91,7,6.02,DE,1675707763
266,Gouré,13.9835,10.2704,77.7,12,73,9.78,NE,1675707763
